['Apr', 'Апрель', 'Apilaks tab. 10mg N50', 'APILAK', '11.21']
['Sep', 'Сентябрь', 'Kapsikama ziede 50g', 'KAPSIKAM', '45.55']
['Sep', 'Сентябрь', 'Ipigrix inj. 5mg/ml N10', 'IPIDAKRIN', '4.99']
['Sep', 'Сентябрь', 'Ipigrix inj. 15mg/ml N10', 'IPIDAKRIN', '19.95']
['Sep', 'Сентябрь', 'Ipigrix tab. 20mg N50', 'IPIDAKRIN', '30.56']
['Sep', 'Сентябрь', 'Mildronate GX tab. 500mg N60', 'MILDRONAT', '37.28']
['Sep', 'Сентябрь', 'Mildronāts kaps. 250mg N40 OTC', 'MILDRONAT', '75.67']
['Sep', 'Сентябрь', 'Mildronāts kaps. 500mg N60', 'MILDRONAT', '79.53']
['Sep', 'Сентябрь', 'Mildronāts inj. 10% 5ml N10', 'MILDRONAT', '77.06']
['Sep', 'Сентябрь', 'Mildronāts inj. 10% 5ml N20', 'MILDRONAT', '8.56']
['Sep', 'Сентябрь', 'Recreol 5% krēms 30g', 'RECREOL', '0.26']
['Sep', 'Сентябрь', 'Recreol 5% krēms 50g', 'RECREOL', '0.44']
['Sep', 'Сентябрь', 'Recreol 5% ziede 30g', 'RECREOL', '0.06']
['Sep', 'Сентябрь', 'Recreol 5% ziede 50g', 'RECREOL', '0.48']
['Sep', 'Сентябрь', 'Rispaxol tab. 2mg N20', 'RISPAXOL', '7.22']
['Sep', 'Сентябрь', 'Rispaxol tab. 2mg N60', 'RISPAXOL', '11.73']
['Sep', 'Сентябрь', 'Rispaxol tab. 4mg N60', 'RISPAXOL', '3.77']
['Sep', 'Сентябрь', 'Sulfargīns ziede 50g', 'SULFARGIN', '22.77']
['Sep', 'Сентябрь', 'Tingreks tab.10mg N30', 'MEMANTIN', '5.11']
['Sep', 'Сентябрь', 'Tingreks tab.10mg N60', 'MEMANTIN', '1.45']
['Sep', 'Сентябрь', 'Tingreks tab.10mg N90', 'MEMANTIN', '0.54']
['Sep', 'Сентябрь', 'Venlaxor tab. 37,5mg N30', 'VENLAXOR', '13.43']
['Sep', 'Сентябрь', 'Venlaxor tab. 75mg N30', 'VENLAXOR', '21.43']
['Sep', 'Сентябрь', 'Viprosāls B ziede 30g', 'VIPROSAL', '41.15']
['Sep', 'Сентябрь', 'Viprosāls B ziede 50g', 'VIPROSAL', '61.73']
['Sep', 'Сентябрь', 'Viprosāls B ziede 75g', 'VIPROSAL', '8.66']
